sample,time_s,model_q1,model_q2,model_q3,model_q4,joint_1,joint_2,joint_3,joint_4,joint_5
74,1.46,0.386757522632366,0.992076860186983,-1.93517892142474,0,0.386757522632366,-0.992076860186983,1.93517892142474,-0.943102061237759,0
75,1.48,0.391792081298669,0.984065778183789,-1.93456535830013,0,0.391792081298669,-0.984065778183789,1.93456535830013,-0.950499580116337,0
76,1.5,0.396581578801418,0.976444641994549,-1.93398166085058,0,0.396581578801418,-0.976444641994549,1.93398166085058,-0.957537018856028,0
77,1.52,0.401122307159876,0.969219351826155,-1.93342828096878,0,0.401122307159876,-0.969219351826155,1.93342828096878,-0.964208929142626,0
78,1.54,0.405411354666907,0.962394540840359,-1.93290557350533,0,0.405411354666907,-0.962394540840359,1.93290557350533,-0.970511032664975,0
79,1.56,0.409446637739922,0.955973524471955,-1.93241379238705,0,0.409446637739922,-0.955973524471955,1.93241379238705,-0.976440267915093,0
80,1.58,0.41322693277182,0.949958249746984,-1.93195308673528,0,0.41322693277182,-0.949958249746984,1.93195308673528,-0.981994836988293,0
81,1.6,0.416751907981932,0.944349244600924,-1.93152349698423,0,0.416751907981932,-0.944349244600924,1.93152349698423,-0.987174252383302,0
82,1.62,0.420022155266969,0.939145567196883,-1.93112495099927,0,0.420022155266969,-0.939145567196883,1.93112495099927,-0.991979383802387,0
83,1.64,0.423039222051965,0.934344755243795,-1.93075726019527,0,0.423039222051965,-0.934344755243795,1.93075726019527,-0.996412504951479,0
84,1.66,0.425805643141215,0.929942775314614,-1.9304201156549,0,0.425805643141215,-0.929942775314614,1.9304201156549,-1.00047734034029,0
85,1.68,0.428324972569228,0.925933972164507,-1.93011308424694,0,0.428324972569228,-0.925933972164507,1.93011308424694,-1.00417911208243,0
86,1.7,0.430601815451666,0.92231101804905,-1.9298356047446,0,0.430601815451666,-0.92231101804905,1.9298356047446,-1.00752458669555,0
87,1.72,0.432641859836285,0.919064862042422,-1.92958698394386,0,0.432641859836285,-0.919064862042422,1.92958698394386,-1.01052212190144,0
88,1.74,0.434451908553889,0.916184679355595,-1.92936639278176,0,0.434451908553889,-0.916184679355595,1.92936639278176,-1.01318171342617,0
89,1.76,0.436039911069263,0.913657820654536,-1.92917286245471,0,0.436039911069263,-0.913657820654536,1.92917286245471,-1.01551504180018,0
90,1.78,0.437414995332124,0.911469761378396,-1.92900528053684,0,0.437414995332124,-0.911469761378396,1.92900528053684,-1.01753551915845,0
91,1.8,0.438587499628064,0.909604051057699,-1.92886238709829,0,0.438587499628064,-0.909604051057699,1.92886238709829,-1.01925833604059,0
92,1.82,0.439569004429491,0.90804226263255,-1.92874277082351,0,0.439569004429491,-0.90804226263255,1.92874277082351,-1.02070050819096,0
93,1.84,0.440372364246578,0.906763941770818,-1.92864486512964,0,0.440372364246578,-0.906763941770818,1.92864486512964,-1.02188092335882,0
