sample,time_s,ref_q1,ref_q2,ref_q3,ref_q4,actual_q1,actual_q2,actual_q3,actual_q4,ref_joint_1,ref_joint_2,ref_joint_3,ref_joint_4,ref_joint_5,actual_joint_1,actual_joint_2,actual_joint_3,actual_joint_4,actual_joint_5
33,0.64,0.0842839058702659,1.47337842171257,-1.97204146881279,0,0.0796925073485312,1.48068433917325,-1.97260102388207,0,0.0842839058702659,-1.47337842171257,1.97204146881279,-0.498663047100215,0,0.0796925073485312,-1.48068433917325,1.97260102388207,-0.491916684708822,0
34,0.66,0.0906703858196909,1.46321613779104,-1.97126314664936,0,0.086100239770646,1.47048823792774,-1.97182011167363,0,0.0906703858196909,-1.46321613779104,1.97126314664936,-0.508047008858321,0,0.086100239770646,-1.47048823792774,1.97182011167363,-0.501331873745893,0
35,0.68,0.0972563508859735,1.45273642949619,-1.97046051317689,0,0.0927227518805333,1.45995037530742,-1.97101302420236,0,0.0972563508859735,-1.45273642949619,1.97046051317689,-0.517724083680701,0,0.0927227518805333,-1.45995037530742,1.97101302420236,-0.511062648894944,0
36,0.7,0.104032869533552,1.44195350885107,-1.96963465688421,0,0.099550712697009,1.44908559894053,-1.97018089863764,0,0.104032869533552,-1.44195350885107,1.96963465688421,-0.527681148033138,0,0.099550712697009,-1.44908559894053,1.97018089863764,-0.521095299697117,0
37,0.72,0.110990500611759,1.43088239878763,-1.96878672836709,0,0.106574251165709,1.43790961582965,-1.96932493796773,0,0.110990500611759,-1.43088239878763,1.96878672836709,-0.537904329579458,0,0.106574251165709,-1.43790961582965,1.96932493796773,-0.531415322138086,0
38,0.74,0.118119325205767,1.41953888246489,-1.96791793644656,0,0.113782991908656,1.42643893546633,-1.96844640664295,0,0.118119325205767,-1.41953888246489,1.96791793644656,-0.548379053981662,0,0.113782991908656,-1.42643893546633,1.96844640664295,-0.54200747117662,0
39,0.76,0.125408978487533,1.40793945258717,-1.96702954428721,0,0.121166090476754,1.4146908137367,-1.96754662627946,0,0.125408978487533,-1.40793945258717,1.96702954428721,-0.559090091700037,0,0.121166090476754,-1.4146908137367,1.96754662627946,-0.552855812542759,0
40,0.78,0.132848681566738,1.39610126072224,-1.96612286551553,0,0.128712268167983,1.40268319751808,-1.96662697141594,0,0.132848681566738,-1.39610126072224,1.96612286551553,-0.570021604793289,0,0.128712268167983,-1.40268319751808,1.96662697141594,-0.563943773897863,0
41,0.8,0.140427273341738,1.38404206661957,-1.96519926033822,0,0.136409846466314,1.39043466987917,-1.96568886531653,0,0.140427273341738,-1.38404206661957,1.96519926033822,-0.581157193718656,0,0.136409846466314,-1.39043466987917,1.96568886531653,-0.575254195437363,0
42,0.82,0.148133242350501,1.37178018752846,-1.9642601316605,0,0.144246781149544,1.37796439580703,-1.96473377581408,0,0.148133242350501,-1.37178018752846,1.9642601316605,-0.592479944132035,0,0.144246781149544,-1.37796439580703,1.96473377581408,-0.586769380007046,0
43,0.84,0.155954758621558,1.35933444751631,-1.96330692120441,0,0.152210696108212,1.36529206839383,-1.96376321118864,0,0.155954758621558,-1.35933444751631,1.96330692120441,-0.603972473688103,0,0.152210696108212,-1.36529206839383,1.96376321118864,-0.598471142794805,0
44,0.86,0.16387970552494,1.34672412678673,-1.96234110562717,0,0.16028891691243,1.35243785542465,-1.96277871607665,0,0.16387970552494,-1.34672412678673,1.96234110562717,-0.615616978840438,0,0.16028891691243,-1.35243785542465,1.96277871607665,-0.610340860652002,0
45,0.88,0.171895711623129,1.33396891099781,-1.96136419263945,0,0.168468504158843,1.33942234631521,-1.96178186740696,0,0.171895711623129,-1.33396891099781,1.96136419263945,-0.627395281641642,0,0.168468504158843,-1.33942234631521,1.96178186740696,-0.622359521091755,0
46,0.9,0.179990182521995,1.32108884058025,-1.96037771712372,0,0.176736286625816,1.32626649935472,-1.96077427036017,0,0.179990182521995,-1.32108884058025,1.96037771712372,-0.639288876543463,0,0.176736286625816,-1.32626649935472,1.96077427036017,-0.634507771005451,0
47,0.92,0.188150332721746,1.30810426005562,-1.95938323725254,0,0.185078894261394,1.31299158921485,-1.95975755434838,0,0.188150332721746,-1.30810426005562,1.95938323725254,-0.651278977196917,0,0.185078894261394,-1.31299158921485,1.95975755434838,-0.646765965133531,0
48,0.94,0.196363217467871,1.2950357673545,-1.95838233060691,0,0.193482791025435,1.2996191546907,-1.95873336901273,0,0.196363217467871,-1.2950357673545,1.95838233060691,-0.66334656325241,0,0.193482791025435,-1.2996191546907,1.95873336901273,-0.659114214322028,0
49,0.96,0.204615764602078,1.28190416313467,-1.95737659029453,0,0.201934307604617,1.28617094664412,-1.9577033802364,0,0.204615764602078,-1.28190416313467,1.95737659029453,-0.675472427159858,0,0.201934307604617,-1.28617094664412,1.9577033802364,-0.671532433592282,0
50,0.98,0.212894806413249,1.26873040009938,-1.9563676210682,0,0.210419674016584,1.27266887612334,-1.95666926617113,0,0.212894806413249,-1.26873040009938,1.9563676210682,-0.687637220968814,0,0.210419674016584,-1.27266887612334,1.95666926617113,-0.684000390047792,0
51,1,0.221187111488372,1.25553553231545,-1.95535703544403,0,0.218925052117467,1.25913496263646,-1.95563271327553,0,0.221187111488372,-1.25553553231545,1.95535703544403,-0.699821503128584,0,0.218925052117467,-1.25913496263646,1.95563271327553,-0.696497750639069,0
52,1.02,0.229479416563496,1.24234066453152,-1.95434644981987,0,0.227436568025159,1.24559128255893,-1.95459541236364,0,0.229479416563496,-1.24234066453152,1.95434644981987,-0.712005785288355,0,0.227436568025159,-1.24559128255893,1.95459541236364,-0.709004129804713,0
53,1.04,0.237758458374666,1.22916690149622,-1.95333748059354,0,0.235940344469144,1.23205991765785,-1.95355905466243,0,0.237758458374666,-1.22916690149622,1.95333748059354,-0.724170579097311,0,0.235940344469144,-1.23205991765785,1.95355905466243,-0.721499137004576,0
54,1.06,0.246011005508874,1.2160352972764,-1.95233174028116,0,0.244422533076316,1.2185629037183,-1.95252532787715,0,0.246011005508874,-1.2160352972764,1.95233174028116,-0.736296443004759,0,0.244422533076316,-1.2185629037183,1.95252532787715,-0.733962424158857,0
