sample,time_s,segment_index,q1_ref_rad,q2_ref_rad,q3_ref_rad,q4_ref_m,q1_actual_rad,q2_actual_rad,q3_actual_rad,q4_actual_m,q1_error_rad,q2_error_rad,q3_error_rad,q4_error_m,q1dot_ref,q2dot_ref,q3dot_ref,q4dot_ref,q1dot_actual,q2dot_actual,q3dot_actual,q4dot_actual,q1dot_error,q2dot_error,q3dot_error,q4dot_error,q1ddot_cmd,q2ddot_cmd,q3ddot_cmd,q4ddot_cmd,stamp_ref_x_m,stamp_ref_y_m,stamp_ref_z_m,stamp_actual_x_m,stamp_actual_y_m,stamp_actual_z_m,stamp_error_x_m,stamp_error_y_m,stamp_error_z_m,stamp_error_norm_m
653,13.04,7,-0.250595700623388,0.888861071982807,-2.07704690837392,0,-0.249224702355221,0.890071387927944,-2.08001357214377,0,-0.00137099826816739,-0.00121031594513643,0.00296666376984911,0,-0.311735349043928,-0.275199664631831,0.674555167036119,0,-0.320625202364234,-0.28304761854491,0.69379166527027,0,0.00888985332030584,0.0078479539130793,-0.019236498234151,0,0.0406972395893779,0.0359274837479429,-0.0880635876981084,0,0.367721060737821,-0.0941279713704514,0.0557806407490537,0.367148131245827,-0.0934451610990028,0.0557749261245976,0.0005729294919945,-0.000682810271448661,5.71462445612264e-06,0.000891353311838547
654,13.06,7,-0.256818758372742,0.883367362620494,-2.06358101247066,0,-0.25562092750667,0.884424806550544,-2.06617296427344,0,-0.00119783086607184,-0.00105744393005047,0.0025919518027786,0,-0.310487660285439,-0.274098206202576,0.671855329172132,0,-0.319811257572446,-0.282329068869951,0.692030393516308,0,0.00932359728700766,0.00823086266737544,-0.0201750643441755,0,0.0666888591329695,0.0588728603424615,-0.144306106605649,0,0.370299661457225,-0.0972473715033046,0.055813793259104,0.369806135580076,-0.0966443956540965,0.0558064940126011,0.000493525877149292,-0.000602975849208098,7.29924650291758e-06,0.000779230996010628
655,13.08,7,-0.263011907618999,0.877900056455788,-2.05017983471812,0,-0.261990477114466,0.878801774317283,-2.05239007884576,0,-0.00102143050453296,-0.000901717861494844,0.0022102441276366,0,-0.308745099186004,-0.272559874949364,0.668084651265039,0,-0.318477480389787,-0.281151611663102,0.689144271384195,0,0.00973238120378306,0.00859173671373731,-0.0210596201191555,0,0.0925045736223651,0.0816629481252618,-0.200167989619451,0,0.372829792365868,-0.100384119697623,0.0558585007019554,0.372414997421896,-0.0998645756249775,0.0558503237210302,0.000414794943971952,-0.00051954407264504,8.17698092517999e-06,0.000664866717457221
656,13.1,7,-0.269165290945458,0.872467855606618,-2.03686470529713,0,-0.268323024892812,0.873211407263271,-2.03868726061392,0,-0.000842266052645646,-0.000743551656652852,0.00182255531678965,0,-0.306511868908075,-0.270588381419944,0.663252228417331,0,-0.31662738891734,-0.279518352700597,0.685140911591806,0,0.0101155200092644,0.00892997128065209,-0.021888683174475,0,0.118083794920724,0.104244259947757,-0.255518131810535,0,0.375307593056379,-0.103532239865722,0.0559144635608479,0.37497057594804,-0.103099490476112,0.0559061249767243,0.00033701710833911,-0.000432749389609466,8.33858412355171e-06,0.000548563667686629
657,13.12,7,-0.275269147007704,0.867079377378393,-2.02365674650048,0,-0.274608339153191,0.867662737913238,-2.02508664963481,0,-0.00066080785451289,-0.000583360534844091,0.00142990313433122,0,-0.303793373517661,-0.268188496318561,0.657369754332208,0,-0.314265713018925,-0.277433467501641,0.680030548955595,0,0.0104723395012639,0.00924497118308037,-0.022660794623387,0,0.143366004573988,0.126563370177198,-0.310225579034618,0,0.377729490088316,-0.106685619044172,0.055981311284495,0.377469035300135,-0.106342774248917,0.0559735303262846,0.00026045478818193,-0.00034284479525469,7.7809582104682e-06,0.000430627209580163
658,13.14,7,-0.281313834551677,0.861743133060874,-2.01057682076087,0,-0.28083630701174,0.862164693911276,-2.01161012888731,0,-0.000477527539937461,-0.000421560850401903,0.00103330812644353,0,-0.300596217984327,-0.265366050505958,0.650451521313581,0,-0.311398392927445,-0.274902200098097,0.673826037374903,0,0.0108021749431187,0.00953614959213983,-0.0233745160613219,0,0.168290744868628,0.148566906802606,-0.364159508582085,0,0.380092205473022,-0.109838033126221,0.0560586053810456,0.379906853971036,-0.109587932195683,0.0560520982847942,0.000185351501986175,-0.00025010093053783,6.50709625144019e-06,0.000311364733144339
659,13.16,7,-0.287289856431745,0.856467506725039,-1.99764547867893,0,-0.286996958572341,0.856726076672035,-1.99827927194325,0,-0.000292897859403229,-0.000258569946996356,0.000633793264319227,0,-0.296928208181195,-0.262127934999378,0.642514420266075,0,-0.308032578030073,-0.271930861962045,0.666542847203261,0,0.0111043698488775,0.00980292696266688,-0.0240284269371867,0,0.192797611037226,0.170201544553702,-0.41718921231181,0,0.382392762879495,-0.112983173706284,0.0561458430287119,0.382280831736236,-0.112828368634029,0.0561413170439734,0.000111931143259303,-0.000154805072255043,4.52598473853205e-06,0.000191085519506521
660,13.18,7,-0.29318788362877,0.851260734019957,-1.98488290705118,0,-0.293080491088528,0.851355540050616,-1.98511529068411,0,-0.000107392540242612,-9.48060306583676e-05,0.000232383632924327,0,-0.292798350884947,-0.258482100972566,0.633577940695022,0,-0.304176625809328,-0.268526831070971,0.658199062957025,0,0.0113782749243809,0.0100447300984058,-0.0246211222620027,0,0.216826244463357,0.191413998902279,-0.469184081947622,0,0.384628491554848,-0.116114675857327,0.0562424611709088,0.384588094115211,-0.116057415827745,0.0562406087058837,4.0397439637907e-05,-5.72600295822429e-05,1.85246502508452e-06,7.01006115788359e-05
661,13.2,7,-0.298998779268189,0.84613088096966,-1.97230887689804,0,-0.299077293106929,0.846061569028757,-1.97213898305774,0,7.85138387398576e-05,6.93119409024279e-05,-0.000169893840298529,0,-0.288216853775821,-0.254437559755761,0.623664170706472,0,-0.299840100920061,-0.264698551092926,0.648815381318073,0,0.0116232471442398,0.010260991337165,-0.0251512106116009,0,0.240316326758783,0.212151020833543,-0.52001359626187,0,0.386797027978589,-0.119226146659051,0.0563478410602639,0.386826094375051,-0.119268363696214,0.0563493340045712,-2.90663964619409e-05,4.22170371632558e-05,-1.49294430723534e-06,5.12773099219426e-05
662,13.22,7,-0.304713622638075,0.841085822770006,-1.95994269149179,0,-0.304977968594627,0.840852458415232,-1.95937068086989,0,0.000264345956551726,0.000233364354773724,-0.000572010621907371,0,-0.283195125437611,-0.250004382835704,0.612797797007178,0,-0.295033774384885,-0.260455530676255,0.638415109392835,0,0.0118386489472739,0.0104511478405512,-0.0256173123856571,0,0.26320757460065,0.232359392288396,-0.569547309903879,0,0.388896315295877,-0.122311194294587,0.0564613132127374,0.388992613116531,-0.122454490153944,0.0564667974746933,-9.62978206537901e-05,0.000143295859356629,-5.48426195588758e-06,0.00017273404615369
