sample,time_s,segment_index,q1_rad,q2_rad,q3_rad,q4_m,q1dot,q2dot,q3dot,q4dot,q1ddot,q2ddot,q3ddot,q4ddot,stamp_x_m,stamp_y_m,stamp_z_m
274,5.46,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00754339165199999,0,0,0,-0.034963569,-0,-0,-0,0.0815993999999999,0.38,0.18,0.072456608348
275,5.48,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.006860545536,0,0,0,-0.033315984,-0,-0,-0,0.0831168,0.38,0.18,0.073139454464
276,5.5,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.0062109375,0,0,0,-0.031640625,-0,-0,-0,0.084375,0.38,0.18,0.0737890625
277,5.52,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00559507046399996,0,0,0,-0.029942784,-0,-0,-0,0.0853632,0.38,0.18,0.074404929536
278,5.54,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00501333934800001,0,0,0,-0.028227969,-0,-0,-0,0.0860705999999999,0.38,0.18,0.074986660652
279,5.56,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.004466026752,0,0,0,-0.026501904,-0,-0,-0,0.0864864000000001,0.38,0.18,0.075533973248
280,5.58,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00395329863599998,0,0,0,-0.0247705290000001,-0,-0,-0,0.0865998000000002,0.38,0.18,0.076046701364
281,5.6,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00347519999999997,0,0,0,-0.02304,-0,-0,-0,0.0864000000000001,0.38,0.18,0.0765248
282,5.62,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00303165056400004,0,0,0,-0.0213166890000001,-0,-0,-0,0.0858762000000002,0.38,0.18,0.0769683494359999
283,5.64,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00262244044800006,0,0,0,-0.0196071840000001,-0,-0,-0,0.0850176000000002,0.38,0.18,0.0773775595519999
284,5.66,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00224722585200002,0,0,0,-0.0179182890000001,-0,-0,-0,0.0838134000000001,0.38,0.18,0.077752774148
285,5.68,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00190552473600005,0,0,0,-0.016257024,-0,-0,-0,0.0822527999999998,0.38,0.18,0.0780944752639999
286,5.7,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00159671249999997,0,0,0,-0.0146306249999999,-0,-0,-0,0.0803249999999998,0.38,0.18,0.0784032875
287,5.72,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00132001766399999,0,0,0,-0.013046544,-0,-0,-0,0.0780192,0.38,0.18,0.078679982336
288,5.74,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00107451754799998,0,0,0,-0.011512449,-0,-0,-0,0.0753245999999999,0.38,0.18,0.078925482452
289,5.76,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000859133951999949,0,0,0,-0.0100362239999998,-0,-0,-0,0.0722303999999998,0.38,0.18,0.079140866048
290,5.78,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000672628836000048,0,0,0,-0.00862596900000007,-0,-0,-0,0.0687257999999999,0.38,0.18,0.0793273711639999
291,5.8,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.00051360000000001,0,0,0,-0.00728999999999985,-0,-0,-0,0.0647999999999999,0.38,0.18,0.0794864
292,5.82,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000380476764,0,0,0,-0.00603684900000012,-0,-0,-0,0.0604422000000003,0.38,0.18,0.079619523236
293,5.84,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000271515648000022,0,0,0,-0.00487526400000014,-0,-0,-0,0.0556416,0.38,0.18,0.0797284843519999
294,5.86,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000184796051999926,0,0,0,-0.00381420899999981,-0,-0,-0,0.0503874,0.38,0.18,0.079815203948
295,5.88,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.000118215936000039,0,0,0,-0.00286286400000002,-0,-0,-0,0.0446688000000002,0.38,0.18,0.0798817840639999
296,5.9,3,0.442374222976745,0.903578547477269,-1.92840089802568,6.94875000001038e-05,0,0,0,-0.00203062500000005,-0,-0,-0,0.038475,0.38,0.18,0.0799305124999999
297,5.92,3,0.442374222976745,0.903578547477269,-1.92840089802568,3.61328639999839e-05,0,0,0,-0.00132710400000011,-0,-0,-0,0.0317952000000005,0.38,0.18,0.079963867136
